,dataset,Unnamed: 0,CARD,cell2location,DeconRNASeq,DestVI,DWLS,SVR,RCTD,SCDC,SPOTlight,STdeconvolve,SpatialDWLS
19,c456392019d1940e7e699a14aec5bcf6_starmap_clusters_jsd,fibroblast of lung,0.0316177746060701,0.0125142031419937,0.1129779417741286,0.0296423969339515,0.0021188645916268,0.0112535444000912,0.0092021864777883,0.0211395226045315,0.0145653375090253,0.2258603821575912,
20,dcc01a2a5f65d552a54ee0d1f8863acc_starmap_clusters_jsd,B cell,0.2568285096303089,0.1864961685900458,0.0188230663912565,0.3202207100496677,0.0475623114966132,0.1348183483864723,0.064412793624047,0.3195741964016338,0.5725887471164648,0.41490172381137,0.8325546111576977
21,dcc01a2a5f65d552a54ee0d1f8863acc_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4934589672471118,0.2931082335472015,0.1285356835040009,0.4874450985488964,0.0581325861400767,0.1360411673963353,0.0402852065750485,0.22404185898115,0.7019167013026744,0.8325546111576978,
22,dcc01a2a5f65d552a54ee0d1f8863acc_starmap_clusters_jsd,epithelial cell of lung,0.3296803018116742,0.222138027052098,0.216934498893602,0.3997159812566243,0.0157957372834777,0.0475319525081866,0.0292164732910745,0.0245574536711881,0.5132393171719449,0.0,0.3505138063776333
23,dcc01a2a5f65d552a54ee0d1f8863acc_starmap_clusters_jsd,fibroblast of lung,0.0318436887653775,0.0169289673808421,0.1162579533276836,0.0564574936460006,0.0021899692505528,0.0230899594020996,0.0113056611336211,0.0328881724625488,0.0266331260063898,0.2377124066303074,
24,49db3a23106485d79a11c5f9ec2be108_starmap_clusters_jsd,B cell,0.240089224088582,0.2009632272324738,0.0174811271583622,0.2909145878750482,0.0809715460767837,0.1045841701260726,0.0660396798203601,0.2416645429705814,0.5903453636246709,0.41490172381137,0.8325546111576977
25,49db3a23106485d79a11c5f9ec2be108_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.4910238399615052,0.1878421902493724,0.117640166019944,0.5341367566319782,0.0167648063627917,0.081742286109945,0.0368367040385742,0.0226740284151938,0.7048000203033545,0.8325546111576978,
26,49db3a23106485d79a11c5f9ec2be108_starmap_clusters_jsd,epithelial cell of lung,0.317737579722507,0.1785659755202359,0.2156869496729231,0.3345307131836915,0.0179105702638461,0.0304958596469792,0.0271695530268249,0.0107537819093338,0.541250370966924,0.0,0.4086285756769163
27,49db3a23106485d79a11c5f9ec2be108_starmap_clusters_jsd,fibroblast of lung,0.0277758874790927,0.0129415828608008,0.1167986099103433,0.0191690347561466,0.0028205488905925,0.0155854729534681,0.0099818007417783,0.0176075900171145,0.0151746293057986,0.2766830762836064,
28,24d8649ad90c3e20cc02ad42f5246bd1_starmap_clusters_jsd,B cell,0.2990108503902521,0.2021549699510389,0.0213699803384401,0.2215814646600728,0.0651971617865564,0.1786240165350867,0.0675010308212403,0.3994968213648681,0.5723973295966729,0.4233127014771567,0.8325546111576978
29,24d8649ad90c3e20cc02ad42f5246bd1_starmap_clusters_jsd,alveolar capillary type 1 endothelial cell,0.491197768134396,0.2574168829738264,0.1183853132926934,0.5197102231838683,0.082940422209124,0.1611316488535189,0.0463991402527189,0.2755765618841125,0.6984765693875838,0.8325546111576977,
30,24d8649ad90c3e20cc02ad42f5246bd1_starmap_clusters_jsd,epithelial cell of lung,0.3633408368925221,0.1482163746059,0.1845959329326244,0.3032658132476206,0.0148914051576051,0.0605097263071716,0.0344350506364427,0.0155032308063057,0.50951662829762,0.0,0.4645082481678767
31,24d8649ad90c3e20cc02ad42f5246bd1_starmap_clusters_jsd,fibroblast of lung,0.0342553180839635,0.0183567697026705,0.1137820625954108,0.0285799436325143,0.004147366582221,0.0231403960977293,0.013623938524087,0.0352940777769247,0.046841322428002,0.3242106893784637,
